turma;curso_prefixo;disciplina;turno;dia_semana;sala;professor;vagas;alunos
ADS2N26/2;ADS;Programação Web;NOITE;SEX;603;ROBERTO DOS SANTOS OLIVEIRA;30;17
ADS5N26/2;ADS;Projeto de Desenvolvimento I;NOITE;QUI;604;LUCIANO ZANUZ;30;20
RD5N26/2;RD;Arquiteturas de Computação em Nuvem;NOITE;SEG;604;ERIK ROSA FILIPPINI;30;21
RD4M26/2;RD;Fundamentos de Computação em Nuvem;MANHA;SEG;604;RAFAEL GASTAO COIMBRA FERREIRA;30;19
ADS2N26/2;ADS;Desenvolvimento Web para Dispositivos Móveis;NOITE;TER;604;ROMULO REIS DE OLIVEIRA;30;31
ADS4M26/2;ADS;Algoritmos e Estruturas de Dados II;MANHA;QUA;604;MARCIO PAIVA DA MOTTA;30;21
RD4N26/2;RD;Fundamentos de Computação em Nuvem;NOITE;QUA;604;ERIK ROSA FILIPPINI;31;33
ADS1N26/2A;ADS;Fundamentos Computacionais;NOITE;SEX;604;MAGDA LEYSER;30;16
ADS1N26/2A;ADS;Lógica de Programação;NOITE;QUI;701;FABIO GIULIAN MARQUES;30;20
IA2N26/2;IA;Estruturas de Dados para Ciência de Dados;NOITE;SEG;701;VITOR HUGO DA SILVA LOPES;30;18
ADS5M26/2;ADS;Inteligência Artificial;MANHA;SEG;701;VITOR HUGO DA SILVA LOPES;30;8
ADS3N26/2;ADS;Desenvolvimento de Serviços e APIs;NOITE;TER;701;MARCIO PAIVA DA MOTTA;30;15
ADS5N26/2;ADS;Inteligência Artificial;NOITE;QUA;701;VITOR HUGO DA SILVA LOPES;30;30
RD2N26/2;RD;Comunicação de Dados;NOITE;SEX;702;MARCIO JOEL BARTH;30;9
PG4N26/2;PG;Business Intelligence e Análise Preditiva;NOITE;SEG;702;MAGDA LEYSER;30;18
ADS2N26/2A;ADS;Programação Orientada a Objetos;NOITE;QUA;702;FABIO GIULIAN MARQUES;30;9
RD3N26/2;RD;Sistemas Operacionais de Redes - Windows;NOITE;SEX;703;ERIK ROSA FILIPPINI;30;13
SEG6N26/2;SEG;Forense Computacional;NOITE;SEG;703;ALEX SANDRE PINHEIRO SEVERO;30;6
CC1N26/2;CC;Matemática para Computação;NOITE;QUA;703;ALINE BRUM OTTES;30;13
RD4N26/2;RD;Qualidade de Serviço em Redes;NOITE;SEX;704;RICARDO BECKER;30;13
ADS2N26/2A;ADS;Banco de Dados I;NOITE;QUI;704;LUCAS GABRIEL FERREIRA ALVES;30;12
RD2N26/2;RD;Sistemas Operacionais de Redes - Linux;NOITE;TER;704;THIAGO COSTA NARDON;30;19
CC1N26/2;CC;Circuitos Digitais;NOITE;SEG;704;RICARDO BECKER;30;12
MK4N26/2;MK;Produção de Conteúdo e Storytelling;NOITE;QUI;801;FABRICIO AUGUSTO KIPPER;30;12
PM3N26/2;PM;Projeto de Jogos;NOITE;SEX;801;FELIPE PERUZZO MILKEWICZ;30;5
PM3M26/2;PM;Produção de Áudio;MANHA;TER;801;ANAURELINO NEGRI DA COSTA SILVA;30;13
PM2M26/2;PM;Fotografia;MANHA;QUI;801;ALEXANDRE DAVI BORGES;30;33
PM3M26/2;PM;Animação 2D;MANHA;SEG;801;ANDRE SOUZA DA SILVA;30;13
PM3M26/2;PM;Produção de Vídeo;MANHA;QUA;801;ANAURELINO NEGRI DA COSTA SILVA;30;27
PM3M26/2;PM;Projeto de Jogos;MANHA;SEX;801;FELIPE PERUZZO MILKEWICZ;30;10
PM3N26/2;PM;Produção de Áudio;NOITE;TER;801;ANAURELINO NEGRI DA COSTA SILVA;30;12
PM3N26/2;PM;Produção de Vídeo;NOITE;QUA;801;ANAURELINO NEGRI DA COSTA SILVA;35;33
ADS3M26/2A;ADS;Ética, Cidadania e Sustentabilidade;MANHA;SAB;ONLINE;JOZILDA BERENICE CANDIDO FOGACA;50;48
ADS3M26/2S;ADS;Ética, Cidadania e Sustentabilidade;MANHA;SAB;ONLINE;ROBERTO ZANONI;90;51
MK1M26/2A;MK;Marketing Pessoal e Comunicação Empresarial;MANHA;SAB;ONLINE;CLAUDIA CECILIA SERAFINI MALLMANN;90;83
MK1M26/2S;MK;Marketing Pessoal e Comunicação Empresarial;MANHA;SAB;ONLINE;CLAUDIA CECILIA SERAFINI MALLMANN;90;60
PG5M26/2A;PG;Empreendedorismo;MANHA;SAB;ONLINE;ROBERTO ZANONI;90;77
PG5M26/2S;PG;Empreendedorismo;MANHA;SAB;ONLINE;GLAUCILENE PEDROSO TRAPP;90;39
ADS5M26/2;ADS;Qualidade de Software;MANHA;TER;ONLINE;LUCIANO ZANUZ;30;7
ADS6M26/2;ADS;Tópicos Avançados em Tecnologia;MANHA;QUI;ONLINE;RAFAEL DE JESUS REHM;20;9
DM2M26/2;DM;Design: Teoria e História;MANHA;TER;ONLINE;CRISTIANO DA CUNHA PEREIRA;40;15
DM4N26/2;DM;Cultura, Identidade e Comportamento;NOITE;SEX;ONLINE;CRISTIANO DA CUNHA PEREIRA;40;17
ADS6M26/2;ADS;Projeto de Desenvolvimento II;MANHA;SEX;ONLINE;ROBERTO ZANONI;15;8
RD3M26/2;RD;Fundamentos de DevOps;MANHA;TER;ONLINE;RAFAEL GASTAO COIMBRA FERREIRA;30;16
ADS2M26/2;ADS;Engenharia de Software I;MANHA;SEG;ONLINE;ROBERTO ZANONI;30;23
MK4N26/2C;MK;Estratégias de Marketing Digital;NOITE;SEX;ONLINE;DEBORA FERREIRA COELHO;30;27
PM5M26/2;PM;Novas Mídias;MANHA;QUA;ONLINE;INSTRUTOR A DEFINIR;40;12
DM1M26/2;DM;História da Moda;MANHA;QUI;ONLINE;CRISTIANO DA CUNHA PEREIRA;40;17
ADS6N26/2;ADS;Tópicos Avançados em Tecnologia;NOITE;QUI;ONLINE;RAFAEL DE JESUS REHM;30;14
DM4M26/2;DM;Cultura, Identidade e Comportamento;MANHA;SEX;ONLINE;CRISTIANO DA CUNHA PEREIRA;40;18
ADS5N26/2;ADS;Qualidade de Software;NOITE;TER;ONLINE;LUCIANO ZANUZ;30;17
ADS2N26/2;ADS;Engenharia de Software I;NOITE;SEG;ONLINE;MARCIO PAIVA DA MOTTA;30;20
PG5N26/2C;PG;Gamificação Empresarial;NOITE;SEX;ONLINE;SERGIO RENATO FERREIRA DECKER;30;18
DM2N26/2;DM;Design: Teoria e História;NOITE;TER;ONLINE;CRISTIANO DA CUNHA PEREIRA;40;12
DM1N26/2;DM;História da Moda;NOITE;QUI;ONLINE;CRISTIANO DA CUNHA PEREIRA;40;14
IA4N26/2;IA;Pesquisa Operacional e Otimização;NOITE;TER;ONLINE;JADER ECKERT BRASIL;30;8
MK1N26/2;MK;Gestão de Vendas;NOITE;SEG;ONLINE;ROBERTO DOS SANTOS OLIVEIRA;70;70
PG1N26/2;PG;Modelos de Negócios;NOITE;SEX;ONLINE;GABRIELA TAVOLARA;60;30
DM3M26/2;DM;Pesquisa de Tendências de Moda;MANHA;SEG;ONLINE;MARIOARA GRALHA FEIJO;40;15
MK1N26/2;MK;Marketing Estratégico;NOITE;QUI;ONLINE;NEREIDA PRUDENCIO VIANNA;70;70
ADS6N26/2;ADS;Projeto de Desenvolvimento II;NOITE;SEX;ONLINE;LUCIANO ZANUZ;15;11
RD1N26/2A;RD;Introdução à Cibersegurança;NOITE;TER;ONLINE;ALEX SANDRE PINHEIRO SEVERO;30;13
PM5N26/2;PM;Tópicos Especiais em Tecnologia e Mercado;NOITE;SEG;ONLINE;FABRICIO AUGUSTO KIPPER;40;15
